Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
P19318,reviewed,NARY_ECOLI,Respiratory nitrate reductase 2 beta chain (EC 1.7.5.1),narY b1467 JW1462,Escherichia coli (strain K12),514,,anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; DNA damage response [GO:0006974]; nitrate assimilation [GO:0042128]; nitrate metabolic process [GO:0042126],"3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrate reductase (quinone) activity [GO:0160182]; nitrate reductase activity [GO:0008940]",,PF13247;PF14711;
P19319,reviewed,NARZ_ECOLI,Respiratory nitrate reductase 2 alpha chain (EC 1.7.5.1),narZ b1468 JW1463,Escherichia coli (strain K12),1246,,anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]; nitrate metabolic process [GO:0042126],"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (quinone) activity [GO:0160182]; nitrate reductase activity [GO:0008940]",,PF00384;PF01568;PF14710;
P19624,reviewed,PDXA_ECOLI,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase),pdxA b0052 JW0051,Escherichia coli (strain K12),329,PATHWAY: Cofactor biosynthesis; pyridoxine 5'-phosphate biosynthesis; pyridoxine 5'-phosphate from D-erythrose 4-phosphate: step 4/5. {ECO:0000255|HAMAP-Rule:MF_00536}.,pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615],4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; cobalt ion binding [GO:0050897]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270],1PS6;1PS7;1PTM;,PF04166;
P19636,reviewed,EUTC_ECOLI,Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase beta subunit) (Ethanolamine ammonia-lyase light chain) (Ethanolamine deaminase small subunit),eutC b2440 JW2433,Escherichia coli (strain K12),295,PATHWAY: Amine and polyamine degradation; ethanolamine degradation. {ECO:0000255|HAMAP-Rule:MF_00601}.,amino acid metabolic process [GO:0006520]; ethanolamine catabolic process [GO:0046336],cobalamin binding [GO:0031419]; ethanolamine ammonia-lyase activity [GO:0008851],3ABO;3ABQ;3ABR;3ABS;3ANY;3AO0;5YSN;5YSR;7XRM;7XRN;,PF05985;
P19925,reviewed,ENTD_ECOLI,Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D),entD b0583 JW5085,Escherichia coli (strain K12),206,PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305|PubMed:9214294}.,enterobactin biosynthetic process [GO:0009239]; siderophore metabolic process [GO:0009237],holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287],,PF17837;PF01648;
P19926,reviewed,AGP_ECOLI,Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10),agp b1002 JW0987,Escherichia coli (strain K12),413,,glucose catabolic process [GO:0006007],3-phytase activity [GO:0016158]; glucose-1-phosphatase activity [GO:0008877]; sugar-phosphatase activity [GO:0050308],1NT4;6RMR;,PF00328;
P19934,reviewed,TOLA_ECOLI,Tol-Pal system protein TolA,tolA cim excC lky b0739 JW0729,Escherichia coli (strain K12),421,,bacteriocin transport [GO:0043213]; cell division [GO:0051301]; cell septum assembly [GO:0090529]; cellular response to bacteriocin [GO:0071237]; protein import [GO:0017038]; regulation of membrane invagination [GO:1905153]; symbiont entry into host cell [GO:0046718],disordered domain specific binding [GO:0097718]; protein domain specific binding [GO:0019904]; toxin transmembrane transporter activity [GO:0019534]; virion binding [GO:0046790],1S62;1TOL;3QDP;3QDR;,PF06519;
P20083,reviewed,PARE_ECOLI,DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B),parE nfxD b3030 JW2998,Escherichia coli (strain K12),630,,chromosome organization [GO:0051276]; chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]; plasmid partitioning [GO:0030541]; response to antibiotic [GO:0046677]; sister chromatid cohesion [GO:0007062],"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]",1S14;1S16;3FV5;4HZ0;,PF00204;PF00986;PF02518;PF01751;
P20966,reviewed,PTFBC_ECOLI,PTS system fructose-specific EIIB'BC component (EIIB'BC-Fru) [Includes: PTS system fructose-specific EIIB component (EC 2.7.1.202) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIB component); PTS system fructose-specific EIIC component (Fructose permease IIC component)],fruA ptsF b2167 JW2154,Escherichia coli (strain K12),563,,fructose import across plasma membrane [GO:1990539]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],carbohydrate:proton symporter activity [GO:0005351]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity [GO:0090582]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563],,PF02378;PF02302;
P21151,reviewed,FADA_ECOLI,3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta),fadA oldA b3845 JW5578,Escherichia coli (strain K12),387,PATHWAY: Lipid metabolism; fatty acid beta-oxidation.,fatty acid beta-oxidation [GO:0006635]; fatty acid catabolic process [GO:0009062]; phenylacetate catabolic process [GO:0010124],acetyl-CoA C-acyltransferase activity [GO:0003988],,PF02803;PF00108;
P21156,reviewed,CYSD_ECOLI,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT),cysD b2752 JW2722,Escherichia coli (strain K12),302,"PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_00064, ECO:0000269|PubMed:2828368, ECO:0000269|PubMed:8003495}.",hydrogen sulfide biosynthetic process [GO:0070814]; response to oxidative stress [GO:0006979]; sulfate assimilation [GO:0000103]; sulfur compound metabolic process [GO:0006790],ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781],,PF01507;
P21165,reviewed,PEPQ_ECOLI,Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase),pepQ b3847 JW3823,Escherichia coli (strain K12),443,,peptide catabolic process [GO:0043171]; proteolysis [GO:0006508],aminopeptidase activity [GO:0004177]; dipeptidase activity [GO:0016805]; manganese ion binding [GO:0030145]; metallodipeptidase activity [GO:0070573]; phosphoric triester hydrolase activity [GO:0016795]; proline dipeptidase activity [GO:0102009]; protein homodimerization activity [GO:0042803],4QR8;,PF21216;PF00557;
P21170,reviewed,SPEA_ECOLI,Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19),speA b2938 JW2905,Escherichia coli (strain K12),658,PATHWAY: Amine and polyamine biosynthesis; agmatine biosynthesis; agmatine from L-arginine: step 1/1. {ECO:0000269|PubMed:4571773}.,arginine catabolic process [GO:0006527]; protein homotetramerization [GO:0051289]; putrescine biosynthetic process [GO:0009446]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295],arginine decarboxylase activity [GO:0008792]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; pyridoxal phosphate binding [GO:0030170],3NZQ;,PF17810;PF17944;PF02784;
P21177,reviewed,FADB_ECOLI,Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)],fadB oldB b3846 JW3822,Escherichia coli (strain K12),729,PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000255|HAMAP-Rule:MF_01621}.,fatty acid beta-oxidation [GO:0006635],3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; 3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403],6TNM;,PF00725;PF02737;PF00378;
P21179,reviewed,CATE_ECOLI,Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II),katE b1732 JW1721,Escherichia coli (strain K12),753,,DNA damage response [GO:0006974]; hydrogen peroxide catabolic process [GO:0042744]; hyperosmotic response [GO:0006972]; response to oxidative stress [GO:0006979],catalase activity [GO:0004096]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506],1CF9;1GG9;1GGE;1GGF;1GGH;1GGJ;1GGK;1IPH;1P7Y;1P7Z;1P80;1P81;1QF7;1QWS;1YE9;3P9P;3P9Q;3P9R;3P9S;3PQ2;3PQ3;3PQ4;3PQ5;3PQ6;3PQ7;3PQ8;3TTT;3TTU;3TTV;3TTW;3TTX;3VU3;4BFL;4ENP;4ENQ;4ENR;4ENS;4ENT;4ENU;4ENV;4ENW;5BV2;6BY0;6ZTV;6ZTW;6ZTX;,PF00199;PF06628;PF18011;
P21338,reviewed,RNI_ECOLI,Ribonuclease I (RNase I) (EC 4.6.1.21) (Enterobacter ribonuclease),rna rnsA b0611 JW0603,Escherichia coli (strain K12),268,,RNA catabolic process [GO:0006401],Enterobacter ribonuclease activity [GO:0008847]; ribonuclease T2 activity [GO:0033897]; RNA binding [GO:0003723],2EA1;2PQX;2PQY;2Z70;,PF00445;
P21369,reviewed,PNCA_ECOLI,Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-),pncA nam ydjB b1768 JW1757,Escherichia coli (strain K12),213,PATHWAY: Cofactor biosynthesis; nicotinate biosynthesis; nicotinate from nicotinamide: step 1/1. {ECO:0000305|PubMed:4399474}.,pyridine nucleotide salvage [GO:0019365],"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]; nicotinamidase activity [GO:0008936]",,PF00857;
P21437,reviewed,GLPX2_ECOLI,"Fructose-1,6-bisphosphatase 2 class 2 (FBPase 2 class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2 class 2)",yggF yggK b2930 JW2897,Escherichia coli (strain K12),321,,"fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]","fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; manganese ion binding [GO:0030145]",,PF03320;
P21499,reviewed,RNR_ECOLI,Ribonuclease R (RNase R) (EC 3.1.13.1) (Protein VacB),rnr vacB yjeC b4179 JW5741,Escherichia coli (strain K12),813,,mRNA catabolic process [GO:0006402]; mRNA processing [GO:0006397]; response to cold [GO:0009409]; response to stress [GO:0006950],"3'-5' RNA helicase activity [GO:0034458]; 3'-5'-RNA exonuclease activity [GO:0000175]; exoribonuclease II activity [GO:0008859]; RNA binding [GO:0003723]; RNA exonuclease activity, producing 5'-phosphomonoesters [GO:0016896]; RNA nuclease activity [GO:0004540]",,PF17876;PF08461;PF08206;PF00773;PF00575;
P21507,reviewed,SRMB_ECOLI,ATP-dependent RNA helicase SrmB (EC 3.6.4.13),srmB rbaB rhlA b2576 JW2560,Escherichia coli (strain K12),444,,ribosomal large subunit assembly [GO:0000027]; transcriptional attenuation [GO:0031555],"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on RNA [GO:0008186]; poly(A) binding [GO:0008143]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]",2YJT;,PF00270;PF00271;
P21513,reviewed,RNE_ECOLI,Ribonuclease E (RNase E) (EC 3.1.26.12),rne ams hmp1 b1084 JW1071,Escherichia coli (strain K12),1061,,mRNA catabolic process [GO:0006402]; protein complex oligomerization [GO:0051259]; protein homotetramerization [GO:0051289]; regulation of RNA helicase activity [GO:1902280]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]; rRNA 5'-end processing [GO:0000967]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033],7S RNA binding [GO:0008312]; DEAD/H-box RNA helicase binding [GO:0017151]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; molecular adaptor activity [GO:0060090]; ribonuclease E activity [GO:0008995]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; RNA nuclease activity [GO:0004540]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],1SLJ;1SMX;1SN8;2BX2;2C0B;2C4R;2FYM;2VMK;2VRT;3GCM;3GME;3H1C;3H8A;5F6C;6G63;8B0J;,PF12111;PF10150;PF20833;PF00575;
P21514,reviewed,PDEL_ECOLI,Cyclic di-GMP phosphodiesterase PdeL (EC 3.1.4.52),pdeL yahA b0315 JW0307,Escherichia coli (strain K12),362,,positive regulation of DNA-templated transcription [GO:0045893]; regulation of single-species biofilm formation [GO:1900190],cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; transcription cis-regulatory region binding [GO:0000976],4KIE;4LJ3;4LYK;7PK5;,PF00563;PF00196;
P21599,reviewed,KPYK2_ECOLI,Pyruvate kinase II (EC 2.7.1.40) (PK-2),pykA b1854 JW1843,Escherichia coli (strain K12),480,PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 5/5.,glycolytic process [GO:0006096],AMP binding [GO:0016208]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743],6K0K;,PF00224;PF02887;
P21645,reviewed,LPXD_ECOLI,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase),lpxD firA omsA b0179 JW0174,Escherichia coli (strain K12),341,PATHWAY: Glycolipid biosynthesis; lipid IV(A) biosynthesis; lipid IV(A) from (3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein] and UDP-N-acetyl-alpha-D-glucosamine: step 3/6.,lipid A biosynthetic process [GO:0009245]; response to antibiotic [GO:0046677],identical protein binding [GO:0042802]; N-acyltransferase activity [GO:0016410]; UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase activity [GO:0103118],3EH0;4IHF;4IHG;4IHH;6P83;6P84;6P85;6P86;6P87;6P88;6P89;6P8A;6P8B;,PF00132;PF04613;
P21693,reviewed,DBPA_ECOLI,ATP-dependent RNA helicase DbpA (EC 3.6.4.13),dbpA b1343 JW1337,Escherichia coli (strain K12),457,,ribosomal large subunit assembly [GO:0000027],3'-5' RNA helicase activity [GO:0034458]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA/RNA helicase activity [GO:0033677]; RNA helicase activity [GO:0003724]; rRNA binding [GO:0019843],7BBB;7PLI;7PMM;7PMQ;,PF03880;PF00270;PF00271;
P21829,reviewed,YBHA_ECOLI,Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74),ybhA b0766 JW0749,Escherichia coli (strain K12),272,,pyridoxal phosphate catabolic process [GO:0032361],"magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; pyridoxal phosphatase activity [GO:0033883]; sugar-phosphatase activity [GO:0050308]",,PF08282;
P21865,reviewed,KDPD_ECOLI,Sensor protein KdpD (EC 2.7.13.3),kdpD b0695 JW0683,Escherichia coli (strain K12),894,,cellular response to potassium ion [GO:0035865]; signal transduction [GO:0007165],"ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; protein homodimerization activity [GO:0042803]; transferase activity, transferring phosphorus-containing groups [GO:0016772]",2KSF;4QPR;4Y2F;6LGQ;,PF13493;PF13492;PF02518;PF00512;PF02702;
P21888,reviewed,SYC_ECOLI,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS),cysS b0526 JW0515,Escherichia coli (strain K12),461,,cysteinyl-tRNA aminoacylation [GO:0006423],aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270],1LI5;1LI7;1U0B;,PF23493;PF09190;PF01406;
P22106,reviewed,ASNB_ECOLI,Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4),asnB b0674 JW0660,Escherichia coli (strain K12),554,PATHWAY: Amino-acid biosynthesis; L-asparagine biosynthesis; L-asparagine from L-aspartate (L-Gln route): step 1/1.,amino acid biosynthetic process [GO:0008652]; amino acid catabolic process [GO:0009063]; asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981],amino acid binding [GO:0016597]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; aspartate-ammonia ligase activity [GO:0004071]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803],1CT9;,PF00733;PF13537;
P22188,reviewed,MURE_ECOLI,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)",murE b0085 JW0083,Escherichia coli (strain K12),495,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.,cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],"ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]",1E8C;7B53;7B60;7B61;7B68;7B6I;7B6J;7B6K;7B6L;7B6M;7B6N;7B6O;7B6P;7B6Q;7B9E;7B9W;,PF01225;PF02875;PF08245;
P22255,reviewed,CYSQ_ECOLI,"3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (DPNPase)",cysQ amtA b4214 JW4172,Escherichia coli (strain K12),246,,3'-phosphoadenosine 5'-phosphosulfate metabolic process [GO:0050427]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; sulfate assimilation [GO:0000103],"3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]; magnesium ion binding [GO:0000287]",,PF00459;
P22256,reviewed,GABT_ECOLI,4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) (5-aminovalerate transaminase) (EC 2.6.1.48) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT),gabT b2662 JW2637,Escherichia coli (strain K12),426,PATHWAY: Amino-acid degradation; 4-aminobutanoate degradation. {ECO:0000269|PubMed:12446648}.; PATHWAY: Amino-acid degradation. {ECO:0000305|PubMed:30498244}.,arginine biosynthetic process via ornithine [GO:0042450]; gamma-aminobutyric acid catabolic process [GO:0009450],4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]; 5-aminovalerate transaminase activity [GO:0047589]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170],1SF2;1SFF;1SZK;1SZS;1SZU;,PF00202;
P22259,reviewed,PCKA_ECOLI,Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49),pckA pck b3403 JW3366,Escherichia coli (strain K12),540,PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00453}.,gluconeogenesis [GO:0006094],ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxykinase (ATP) activity [GO:0004612],1AQ2;1AYL;1K3C;1K3D;1OEN;1OS1;2OLQ;2OLR;2PXZ;2PY7;6ASI;6ASM;6ASN;6AT2;6AT3;6AT4;6COM;6CRT;6V2L;6V2M;6V2N;,PF01293;
P22333,reviewed,ADD_ECOLI,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),add b1623 JW1615,Escherichia coli (strain K12),333,,adenosine catabolic process [GO:0006154]; DNA damage response [GO:0006974]; hypoxanthine biosynthetic process [GO:0046101]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]; purine nucleotide interconversion [GO:0015950]; purine nucleotide salvage [GO:0032261]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168],2'-deoxyadenosine deaminase activity [GO:0046936]; adenosine deaminase activity [GO:0004000]; zinc ion binding [GO:0008270],,PF00962;
P22523,reviewed,MUKB_ECOLI,Chromosome partition protein MukB (Structural maintenance of chromosome-related protein),mukB b0924 JW0907,Escherichia coli (strain K12),1486,,cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; GTP binding [GO:0005525]; identical protein binding [GO:0042802],1QHL;2WMM;3IBP;4MN4;6H2X;,PF04310;PF16330;PF13558;
P22525,reviewed,YCBB_ECOLI,"Probable L,D-transpeptidase YcbB (EC 2.-.-.-)",ycbB b0925 JW0908,Escherichia coli (strain K12),615,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.,cell wall organization [GO:0071555]; cellular response to cell envelope stress [GO:0036460]; DNA damage response [GO:0006974]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677],"carboxypeptidase activity [GO:0004180]; cysteine-type carboxypeptidase activity [GO:0016807]; glycosyltransferase activity [GO:0016757]; peptidoglycan L,D-transpeptidase activity [GO:0071972]",6NTW;,PF01471;PF20142;PF03734;
P22564,reviewed,RIHC_ECOLI,Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase),rihC yaaF b0030 JW0028,Escherichia coli (strain K12),304,,DNA damage response [GO:0006974]; purine nucleobase metabolic process [GO:0006144]; purine nucleoside catabolic process [GO:0006152]; pyrimidine nucleobase metabolic process [GO:0006206]; ribonucleoside catabolic process [GO:0042454],adenosine nucleosidase activity [GO:0047622]; inosine nucleosidase activity [GO:0047724]; purine nucleosidase activity [GO:0008477]; ribosylpyrimidine nucleosidase activity [GO:0050263]; uridine nucleosidase activity [GO:0045437],,PF01156;
P22634,reviewed,MURI_ECOLI,Glutamate racemase (EC 5.1.1.3),murI dga glr yijA b3967 JW5550,Escherichia coli (strain K12),285,"PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00258, ECO:0000269|PubMed:1355768, ECO:0000269|PubMed:8098327, ECO:0000305|PubMed:17568739}.",cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],glutamate racemase activity [GO:0008881],2JFN;,PF01177;
P22729,reviewed,LIVM_ECOLI,High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M),livM b3456 JW3421,Escherichia coli (strain K12),425,,branched-chain amino acid transport [GO:0015803]; isoleucine transmembrane transport [GO:1903714]; L-valine transmembrane transport [GO:1903785]; phenylalanine transport [GO:0015823],branched-chain amino acid transmembrane transporter activity [GO:0015658]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304],,PF02653;PF11862;
P22731,reviewed,LIVF_ECOLI,High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F),livF b3454 JW3419,Escherichia coli (strain K12),237,,branched-chain amino acid transport [GO:0015803]; isoleucine transmembrane transport [GO:1903714]; L-amino acid transport [GO:0015807]; L-valine transmembrane transport [GO:1903785]; phenylalanine transport [GO:0015823],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-valine transmembrane transporter activity [GO:0005304],,PF00005;
P23003,reviewed,TRMA_ECOLI,tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase),trmA b3965 JW3937,Escherichia coli (strain K12),366,,tRNA folding [GO:0061818]; tRNA methylation [GO:0030488],"rRNA binding [GO:0019843]; tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; tRNA binding [GO:0000049]",3BT7;,PF05958;
P23256,reviewed,MALY_ECOLI,Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.13) (Beta-cystathionase MalY) (Cysteine lyase MalY) (Cysteine-S-conjugate beta-lyase MalY); Maltose regulon modulator],malY b1622 JW1614,Escherichia coli (strain K12),390,,methionine biosynthetic process [GO:0009086],cysteine-S-conjugate beta-lyase activity [GO:0047804]; DNA-binding transcription factor binding [GO:0140297]; L-cysteine desulfhydrase activity [GO:0080146]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170],1D2F;8BOB;,PF00155;
P23367,reviewed,MUTL_ECOLI,DNA mismatch repair protein MutL,mutL b4170 JW4128,Escherichia coli (strain K12),615,,mismatch repair [GO:0006298]; mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication [GO:0070716]; regulation of DNA recombination [GO:0000018],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mismatched DNA binding [GO:0030983],1B62;1B63;1BKN;1NHH;1NHI;1NHJ;1X9Z;5AKB;5AKC;5AKD;6E8E;7AIB;7AIC;7P8V;,PF01119;PF13589;PF08676;
